,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
168, Afghanistan,,,,,,,,,,,,,,,,,,,1809,,,,,
68, Albania,,,,,,,,,,,,,,,,,,,10970,,,,,
85, Algeria,,,,,,,,,,,,,,,,,,,13725,,,,,
147, Angola,,,,,,,,,,,,,,,,,,,6228,,,,,
70, Antigua and Barbuda,,,,,,,,,,,,,,,,,,,20155,,,,,
47, Argentina,,,,,,,,,,,,,,,,,,,19117,,,,,
83, Armenia,,,,,,,,,,,,,,,,,,,8196,,,,,
3, Australia,,,,,,,,,,,,,,,,,,,43923,,,,,
20, Austria,,,,,,,,,,,,,,,,,,,44305,,,,,
80, Azerbaijan,,,,,,,,,,,,,,,,,,,16699,,,,,
54, Bahamas,,,,,,,,,,,,,,,,,,,28407,,,,,
43, Bahrain,,,,,,,,,,,,,,,,,,,43926,,,,,
136, Bangladesh,,,,,,,,,,,,,,,,,,,3133,,,,,
58, Barbados,,,,,,,,,,,,,,,,,,,16458,,,,,
53, Belarus,,,,,,,,,,,,,,,,,,,17230,,,,,
17, Belgium,,,,,,,,,,,,,,,,,,,41708,,,,,
106, Belize,,,,,,,,,,,,,,,,,,,8128,,,,,
163, Benin,,,,,,,,,,,,,,,,,,,1987,,,,,
134, Bhutan,,,,,,,,,,,,,,,,,,,7743,,,,,
118, Bolivia (Plurinational State of),,,,,,,,,,,,,,,,,,,6532,,,,,
77, Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,10932,,,,,
101, Botswana,,,,,,,,,,,,,,,,,,,15357,,,,,
79, Brazil,,,,,,,,,,,,,,,,,,,14703,,,,,
39, Brunei Darussalam,,,,,,,,,,,,,,,,,,,74600,,,,,
51, Bulgaria,,,,,,,,,,,,,,,,,,,17000,,,,,
183, Burkina Faso,,,,,,,,,,,,,,,,,,,1596,,,,,
185, Burundi,,,,,,,,,,,,,,,,,,,748,,,,,
125, Cabo Verde,,,,,,,,,,,,,,,,,,,5915,,,,,
146, Cambodia,,,,,,,,,,,,,,,,,,,3291,,,,,
151, Cameroon,,,,,,,,,,,,,,,,,,,3289,,,,,
12, Canada,,,,,,,,,,,,,,,,,,,43149,,,,,
188, Central African Republic,,,,,,,,,,,,,,,,,,,622,,,,,
186, Chad,,,,,,,,,,,,,,,,,,,2067,,,,,
44, Chile,,,,,,,,,,,,,,,,,,,22517,,,,,
86, China,,,,,,,,,,,,,,,,,,,13570,,,,,
90, Colombia,,,,,,,,,,,,,,,,,,,12985,,,,,
165, Comoros,,,,,,,,,,,,,,,,,,,1413,,,,,
137, Congo,,,,,,,,,,,,,,,,,,,5543,,,,,
176, Congo (Democratic Republic of the),,,,,,,,,,,,,,,,,,,812,,,,,
63, Costa Rica,,,,,,,,,,,,,,,,,,,14739,,,,,
46, Croatia,,,,,,,,,,,,,,,,,,,20984,,,,,
32, Cyprus,,,,,,,,,,,,,,,,,,,30549,,,,,
27, Czechia,,,,,,,,,,,,,,,,,,,30605,,,,,
170, C̫te d'Ivoire,,,,,,,,,,,,,,,,,,,3242,,,,,
11, Denmark,,,,,,,,,,,,,,,,,,,45459,,,,,
172, Djibouti,,,,,,,,,,,,,,,,,,,,,,,,
103, Dominica,,,,,,,,,,,,,,,,,,,9942,,,,,
94, Dominican Republic,,,,,,,,,,,,,,,,,,,13396,,,,,
86, Ecuador,,,,,,,,,,,,,,,,,,,10749,,,,,
115, Egypt,,,,,,,,,,,,,,,,,,,10096,,,,,
121, El Salvador,,,,,,,,,,,,,,,,,,,7020,,,,,
141, Equatorial Guinea,,,,,,,,,,,,,,,,,,,27554,,,,,
179, Eritrea,,,,,,,,,,,,,,,,,,,,,,,,
30, Estonia,,,,,,,,,,,,,,,,,,,27550,,,,,
144, Eswatini (Kingdom of),,,,,,,,,,,,,,,,,,,7758,,,,,
173, Ethiopia,,,,,,,,,,,,,,,,,,,1533,,,,,
92, Fiji,,,,,,,,,,,,,,,,,,,8478,,,,,
15, Finland,,,,,,,,,,,,,,,,,,,38942,,,,,
24, France,,,,,,,,,,,,,,,,,,,37766,,,,,
110, Gabon,,,,,,,,,,,,,,,,,,,16837,,,,,
174, Gambia,,,,,,,,,,,,,,,,,,,1568,,,,,
70, Georgia,,,,,,,,,,,,,,,,,,,9025,,,,,
5, Germany,,,,,,,,,,,,,,,,,,,43938,,,,,
140, Ghana,,,,,,,,,,,,,,,,,,,3927,,,,,
31, Greece,,,,,,,,,,,,,,,,,,,24170,,,,,
75, Grenada,,,,,,,,,,,,,,,,,,,12758,,,,,
127, Guatemala,,,,,,,,,,,,,,,,,,,7293,,,,,
175, Guinea,,,,,,,,,,,,,,,,,,,1758,,,,,
177, Guinea-Bissau,,,,,,,,,,,,,,,,,,,1446,,,,,
125, Guyana,,,,,,,,,,,,,,,,,,,7077,,,,,
168, Haiti,,,,,,,,,,,,,,,,,,,1651,,,,,
133, Honduras,,,,,,,,,,,,,,,,,,,4319,,,,,
7," Hong Kong, China (SAR)",,,,,,,,,,,,,,,,,,,53592,,,,,
45, Hungary,,,,,,,,,,,,,,,,,,,25034,,,,,
6, Iceland,,,,,,,,,,,,,,,,,,,43048,,,,,
130, India,,,,,,,,,,,,,,,,,,,5757,,,,,
116, Indonesia,,,,,,,,,,,,,,,,,,,10368,,,,,
60, Iran (Islamic Republic of),,,,,,,,,,,,,,,,,,,16501,,,,,
120, Iraq,,,,,,,,,,,,,,,,,,,15073,,,,,
4, Ireland,,,,,,,,,,,,,,,,,,,60818,,,,,
22, Israel,,,,,,,,,,,,,,,,,,,32024,,,,,
28, Italy,,,,,,,,,,,,,,,,,,,34302,,,,,
97, Jamaica,,,,,,,,,,,,,,,,,,,8095,,,,,
19, Japan,,,,,,,,,,,,,,,,,,,37883,,,,,
95, Jordan,,,,,,,,,,,,,,,,,,,8491,,,,,
58, Kazakhstan,,,,,,,,,,,,,,,,,,,23524,,,,,
142, Kenya,,,,,,,,,,,,,,,,,,,2836,,,,,
134, Kiribati,,,,,,,,,,,,,,,,,,,1967,,,,,
22, Korea (Republic of),,,,,,,,,,,,,,,,,,,34178,,,,,
56, Kuwait,,,,,,,,,,,,,,,,,,,68476,,,,,
122, Kyrgyzstan,,,,,,,,,,,,,,,,,,,3238,,,,,
139, Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,5755,,,,,
41, Latvia,,,,,,,,,,,,,,,,,,,23019,,,,,
80, Lebanon,,,,,,,,,,,,,,,,,,,13353,,,,,
159, Lesotho,,,,,,,,,,,,,,,,,,,2708,,,,,
181, Liberia,,,,,,,,,,,,,,,,,,,785,,,,,
108, Libya,,,,,,,,,,,,,,,,,,,14847,,,,,
35, Lithuania,,,,,,,,,,,,,,,,,,,27046,,,,,
21, Luxembourg,,,,,,,,,,,,,,,,,,,94089,,,,,
161, Madagascar,,,,,,,,,,,,,,,,,,,1377,,,,,
171, Malawi,,,,,,,,,,,,,,,,,,,1089,,,,,
57, Malaysia,,,,,,,,,,,,,,,,,,,25002,,,,,
101, Maldives,,,,,,,,,,,,,,,,,,,13705,,,,,
182, Mali,,,,,,,,,,,,,,,,,,,1919,,,,,
29, Malta,,,,,,,,,,,,,,,,,,,34087,,,,,
106, Marshall Islands,,,,,,,,,,,,,,,,,,,3665,,,,,
159, Mauritania,,,,,,,,,,,,,,,,,,,3602,,,,,
65, Mauritius,,,,,,,,,,,,,,,,,,,18864,,,,,
74, Mexico,,,,,,,,,,,,,,,,,,,16939,,,,,
131, Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,3271,,,,,
112, Moldova (Republic of),,,,,,,,,,,,,,,,,,,4747,,,,,
92, Mongolia,,,,,,,,,,,,,,,,,,,11412,,,,,
50, Montenegro,,,,,,,,,,,,,,,,,,,15290,,,,,
123, Morocco,,,,,,,,,,,,,,,,,,,7297,,,,,
180, Mozambique,,,,,,,,,,,,,,,,,,,1118,,,,,
148, Myanmar,,,,,,,,,,,,,,,,,,,5057,,,,,
129, Namibia,,,,,,,,,,,,,,,,,,,9975,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
149, Nepal,,,,,,,,,,,,,,,,,,,2314,,,,,
10, Netherlands,,,,,,,,,,,,,,,,,,,46494,,,,,
16, New Zealand,,,,,,,,,,,,,,,,,,,35310,,,,,
124, Nicaragua,,,,,,,,,,,,,,,,,,,4957,,,,,
189, Niger,,,,,,,,,,,,,,,,,,,908,,,,,
157, Nigeria,,,,,,,,,,,,,,,,,,,5671,,,,,
1, Norway,,,,,,,,,,,,,,,,,,,64008,,,,,
48, Oman,,,,,,,,,,,,,,,,,,,39873,,,,,
150, Pakistan,,,,,,,,,,,,,,,,,,,4696,,,,,
60, Palau,,,,,,,,,,,,,,,,,,,14029,,,,,
119," Palestine, State of",,,,,,,,,,,,,,,,,,,4714,,,,,
66, Panama,,,,,,,,,,,,,,,,,,,20787,,,,,
153, Papua New Guinea,,,,,,,,,,,,,,,,,,,3825,,,,,
110, Paraguay,,,,,,,,,,,,,,,,,,,8639,,,,,
89, Peru,,,,,,,,,,,,,,,,,,,11770,,,,,
113, Philippines,,,,,,,,,,,,,,,,,,,6875,,,,,
33, Poland,,,,,,,,,,,,,,,,,,,25300,,,,,
41, Portugal,,,,,,,,,,,,,,,,,,,26608,,,,,
37, Qatar,,,,,,,,,,,,,,,,,,,119749,,,,,
52, Romania,,,,,,,,,,,,,,,,,,,20556,,,,,
49, Russian Federation,,,,,,,,,,,,,,,,,,,24517,,,,,
158, Rwanda,,,,,,,,,,,,,,,,,,,1731,,,,,
72, Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,24170,,,,,
90, Saint Lucia,,,,,,,,,,,,,,,,,,,12522,,,,,
99, Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,10468,,,,,
104, Samoa,,,,,,,,,,,,,,,,,,,5559,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
143, Sao Tome and Principe,,,,,,,,,,,,,,,,,,,2948,,,,,
39, Saudi Arabia,,,,,,,,,,,,,,,,,,,50724,,,,,
164, Senegal,,,,,,,,,,,,,,,,,,,2294,,,,,
67, Serbia,,,,,,,,,,,,,,,,,,,13278,,,,,
62, Seychelles,,,,,,,,,,,,,,,,,,,24857,,,,,
184, Sierra Leone,,,,,,,,,,,,,,,,,,,1314,,,,,
9, Singapore,,,,,,,,,,,,,,,,,,,81741,,,,,
38, Slovakia,,,,,,,,,,,,,,,,,,,28309,,,,,
25, Slovenia,,,,,,,,,,,,,,,,,,,29038,,,,,
152, Solomon Islands,,,,,,,,,,,,,,,,,,,2149,,,,,
113, South Africa,,,,,,,,,,,,,,,,,,,12378,,,,,
187, South Sudan,,,,,,,,,,,,,,,,,,,1875,,,,,
26, Spain,,,,,,,,,,,,,,,,,,,32291,,,,,
76, Sri Lanka,,,,,,,,,,,,,,,,,,,11080,,,,,
167, Sudan,,,,,,,,,,,,,,,,,,,4290,,,,,
100, Suriname,,,,,,,,,,,,,,,,,,,14767,,,,,
7, Sweden,,,,,,,,,,,,,,,,,,,45679,,,,,
2, Switzerland,,,,,,,,,,,,,,,,,,,57264,,,,,
127, Tajikistan,,,,,,,,,,,,,,,,,,,2641,,,,,
154, Tanzania (United Republic of),,,,,,,,,,,,,,,,,,,2491,,,,,
83, Thailand,,,,,,,,,,,,,,,,,,,15252,,,,,
80, The former Yugoslav Republic of Macedonia,,,,,,,,,,,,,,,,,,,12760,,,,,
132, Timor-Leste,,,,,,,,,,,,,,,,,,,7399,,,,,
165, Togo,,,,,,,,,,,,,,,,,,,1351,,,,,
98, Tonga,,,,,,,,,,,,,,,,,,,5190,,,,,
69, Trinidad and Tobago,,,,,,,,,,,,,,,,,,,31525,,,,,
95, Tunisia,,,,,,,,,,,,,,,,,,,10766,,,,,
64, Turkey,,,,,,,,,,,,,,,,,,,23388,,,,,
108, Turkmenistan,,,,,,,,,,,,,,,,,,,14992,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
162, Uganda,,,,,,,,,,,,,,,,,,,1666,,,,,
88, Ukraine,,,,,,,,,,,,,,,,,,,7465,,,,,
34, United Arab Emirates,,,,,,,,,,,,,,,,,,,66569,,,,,
14, United Kingdom,,,,,,,,,,,,,,,,,,,38839,,,,,
13, United States,,,,,,,,,,,,,,,,,,,53006,,,,,
55, Uruguay,,,,,,,,,,,,,,,,,,,19831,,,,,
105, Uzbekistan,,,,,,,,,,,,,,,,,,,5700,,,,,
138, Vanuatu,,,,,,,,,,,,,,,,,,,2807,,,,,
78, Venezuela (Bolivarian Republic of),,,,,,,,,,,,,,,,,,,16745,,,,,
116, Viet Nam,,,,,,,,,,,,,,,,,,,5555,,,,,
178, Yemen,,,,,,,,,,,,,,,,,,,2309,,,,,
144, Zambia,,,,,,,,,,,,,,,,,,,3627,,,,,
156, Zimbabwe,,,,,,,,,,,,,,,,,,,1912,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,